# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.loading.from.cache.ms,1775719398237000000,1775719458259000000,122
workspaceModel.replace.project.model.ms,1775719398237000000,1775719458259000000,0
workspaceModel.pre.handlers.ms,1775719398237000000,1775719458259000000,0
workspaceModel.updates.count,1775719398237000000,1775719458259000000,3
workspaceModel.update.unloaded.entities.ms,1775719398237000000,1775719458259000000,0
workspaceModel.updates.ms,1775719398237000000,1775719458259000000,53
workspaceModel.updates.precise.ms,1775719398237000000,1775719458259000000,22
workspaceModel.to.snapshot.ms,1775719398237000000,1775719458259000000,4
workspaceModel.check.recursive.update.ms,1775719398237000000,1775719458259000000,0
workspaceModel.collect.changes.ms,1775719398237000000,1775719458259000000,0
workspaceModel.initializing.ms,1775719398237000000,1775719458259000000,1
workspaceModel.loading.total.ms,1775719398237000000,1775719458259000000,130
workspaceModel.init.bridges.ms,1775719398237000000,1775719458259000000,1
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775719398237000000,1775719458259000000,1306022
DirectByteBufferAllocator.misses,1775719398237000000,1775719458259000000,287
FilePageCache.totalPageLoadsUs,1775719398237000000,1775719458259000000,288870
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775719398237000000,1775719458259000000,355601
DirectByteBufferAllocator.hits,1775719398237000000,1775719458259000000,22
DirectByteBufferAllocator.disposed,1775719398237000000,1775719458259000000,0
FilePageCache.totalPageDisposalsUs,1775719398237000000,1775719458259000000,948
StorageLockContext.competingThreads.90P,1775719398237000000,1775719458259000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775719398237000000,1775719458259000000,0
FilePageCache.maxCacheSizeInBytes,1775719398237000000,1775719458259000000,302055424
FilePageCache.pageFastCacheHits,1775719398237000000,1775719458259000000,62309
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775719398237000000,1775719458259000000,302055424
FilePageCache.pageLoads,1775719398237000000,1775719458259000000,309
FilePageCache.uncachedFileAccess,1775719398237000000,1775719458259000000,185
FilePageCache.pageLoadsAboveSizeThreshold,1775719398237000000,1775719458259000000,0
StreamlinedBlobStorage.recordsRelocated,1775719398237000000,1775719458259000000,0
StreamlinedBlobStorage.recordsAllocated,1775719398237000000,1775719458259000000,18198
FilePageCache.pageHits,1775719398237000000,1775719458259000000,70
FilePageCache.maxRegisteredFiles,1775719398237000000,1775719458259000000,651
DirectByteBufferAllocator.reclaimed,1775719398237000000,1775719458259000000,22
StreamlinedBlobStorage.recordsDeleted,1775719398237000000,1775719458259000000,23
FilePageCache.disposedBuffers,1775719398237000000,1775719458259000000,22
StorageLockContext.competingThreads.avg,1775719398237000000,1775719458259000000,0.06779661016949153
FilePageCache.capacityInBytes,1775719398237000000,1775719458259000000,524288000
StorageLockContext.competingThreads.max,1775719398237000000,1775719458259000000,8
IndexesFlusher.totalFlushesRetried,1775719398237000000,1775719458259000000,0
IndexesFlusher.totalContentionQuotaSpent,1775719398237000000,1775719458259000000,0
Indexes.entries.lookupDurationAvgMs,1775719398237000000,1775719458259000000,1.5434782608695652
Indexes.stubs.lookupDurationAvgMs,1775719398237000000,1775719458259000000,0.17391304347826086
Indexes.stubs.lookupDurationMaxMs,1775719398237000000,1775719458259000000,3.0
IndexesFlusher.totalFlushingTimeUs,1775719398237000000,1775719458259000000,478329
Indexes.entries.lookupDuration90PMs,1775719398237000000,1775719458259000000,4.0
VFSFlusher.totalFlushes,1775719398237000000,1775719458259000000,8
Indexes.entries.lookupDurationMaxMs,1775719398237000000,1775719458259000000,31.0
Indexes.allKeys.lookupDurationMaxMs,1775719398237000000,1775719458259000000,0.0
VFSFlusher.totalContentionQuotaSpent,1775719398237000000,1775719458259000000,0
Indexes.stubs.lookups,1775719398237000000,1775719458259000000,46.0
Indexes.allKeys.lookupDuration90PMs,1775719398237000000,1775719458259000000,0.0
Indexes.allKeys.lookups,1775719398237000000,1775719458259000000,0.0
IndexesFlusher.totalFlushes,1775719398237000000,1775719458259000000,58
VFSFlusher.totalFlushingTimeUs,1775719398237000000,1775719458259000000,33344
Indexes.stubs.lookupDuration90PMs,1775719398237000000,1775719458259000000,1.0
VFSFlusher.totalFlushesRetried,1775719398237000000,1775719458259000000,0
Indexes.entries.lookups,1775719398237000000,1775719458259000000,46.0
Indexes.allKeys.lookupDurationAvgMs,1775719398237000000,1775719458259000000,0.0
FileNameCache.totalMisses,1775719398237000000,1775719458259000000,11268
FileNameCache.queries,1775719398237000000,1775719458259000000,685392
FileNameCache.fastMisses,1775719398237000000,1775719458259000000,62353
JVM.maxHeapBytes,1775719398237000000,1775719458259000000,2147483648
OS.loadAverage,1775719398237000000,1775719458259000000,4.88037109375
JVM.usedHeapBytes,1775719398237000000,1775719458259000000,280577536
JVM.usedNativeBytes,1775719398237000000,1775719458259000000,369179176
JVM.maxNativeBytes,1775719398237000000,1775719458259000000,-1
JVM.GC.collectionTimesMs,1775719398237000000,1775719458259000000,119
JVM.GC.collections,1775719398237000000,1775719458259000000,25
JVM.totalCpuTimeMs,1775719398237000000,1775719458259000000,41609
JVM.threadCount,1775719398237000000,1775719458259000000,132
workspaceModel.mutableEntityStorage.remove.entity.ms,1775719398237000000,1775719458259000000,0
workspaceModel.sync.entities.ms,1775719398237000000,1775719458259000000,0
jps.apply.loaded.storage.ms,1775719398237000000,1775719458259000000,23
jps.app.storage.content.writer.save.component.ms,1775719398237000000,1775719458259000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775719398237000000,1775719458259000000,8
workspaceModel.delayed.project.synchronizer.sync.ms,1775719398237000000,1775719458259000000,118
jps.facet.change.listener.process.change.events.ms,1775719398237000000,1775719458259000000,0
jps.module.iml.entities.serializer.save.entities.ms,1775719398237000000,1775719458259000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775719398237000000,1775719458259000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775719398237000000,1775719458259000000,0
jps.project.serializers.save.ms,1775719398237000000,1775719458259000000,0
workspaceModel.moduleBridge.before.changed.ms,1775719398237000000,1775719458259000000,0
