# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.count,1775718525035000000,1775718585043000000,3
workspaceModel.updates.precise.ms,1775718525035000000,1775718585043000000,18
workspaceModel.loading.from.cache.ms,1775718525035000000,1775718585043000000,124
workspaceModel.replace.project.model.ms,1775718525035000000,1775718585043000000,0
workspaceModel.check.recursive.update.ms,1775718525035000000,1775718585043000000,0
workspaceModel.collect.changes.ms,1775718525035000000,1775718585043000000,0
workspaceModel.update.unloaded.entities.ms,1775718525035000000,1775718585043000000,0
workspaceModel.loading.total.ms,1775718525035000000,1775718585043000000,132
workspaceModel.initializing.ms,1775718525035000000,1775718585043000000,0
workspaceModel.to.snapshot.ms,1775718525035000000,1775718585043000000,1
workspaceModel.pre.handlers.ms,1775718525035000000,1775718585043000000,0
workspaceModel.updates.ms,1775718525035000000,1775718585043000000,46
workspaceModel.init.bridges.ms,1775718525035000000,1775718585043000000,0
IndexesFlusher.totalFlushingTimeUs,1775718525035000000,1775718585043000000,755817
Indexes.entries.lookupDurationAvgMs,1775718525035000000,1775718585043000000,2.125
Indexes.stubs.lookupDurationMaxMs,1775718525035000000,1775718585043000000,11.0
VFSFlusher.totalFlushesRetried,1775718525035000000,1775718585043000000,3
Indexes.entries.lookupDurationMaxMs,1775718525035000000,1775718585043000000,10.0
IndexesFlusher.totalContentionQuotaSpent,1775718525035000000,1775718585043000000,53
VFSFlusher.totalFlushingTimeUs,1775718525035000000,1775718585043000000,20337
Indexes.allKeys.lookupDurationMaxMs,1775718525035000000,1775718585043000000,1.0
Indexes.stubs.lookupDurationAvgMs,1775718525035000000,1775718585043000000,0.7083333333333334
Indexes.stubs.lookupDuration90PMs,1775718525035000000,1775718585043000000,0.0
VFSFlusher.totalContentionQuotaSpent,1775718525035000000,1775718585043000000,95
Indexes.entries.lookups,1775718525035000000,1775718585043000000,8.0
Indexes.allKeys.lookups,1775718525035000000,1775718585043000000,1.0
IndexesFlusher.totalFlushesRetried,1775718525035000000,1775718585043000000,3
VFSFlusher.totalFlushes,1775718525035000000,1775718585043000000,11
Indexes.stubs.lookups,1775718525035000000,1775718585043000000,24.0
IndexesFlusher.totalFlushes,1775718525035000000,1775718585043000000,61
Indexes.entries.lookupDuration90PMs,1775718525035000000,1775718585043000000,10.0
Indexes.allKeys.lookupDuration90PMs,1775718525035000000,1775718585043000000,1.0
Indexes.allKeys.lookupDurationAvgMs,1775718525035000000,1775718585043000000,1.0
FileNameCache.totalMisses,1775718525035000000,1775718585043000000,11285
FileNameCache.queries,1775718525035000000,1775718585043000000,664171
FileNameCache.fastMisses,1775718525035000000,1775718585043000000,62572
NonBlockingReadAction.finalizedExecutionTimeUs,1775718525035000000,1775718585043000000,597399
AWTEventQueue.eventsDispatched,1775718525035000000,1775718585043000000,18395
FlushQueue.tasksExecuted,1775718525035000000,1775718585043000000,1961
AWTEventQueue.dispatchTimeTotalNS,1775718525035000000,1775718585043000000,9416742751
FlushQueue.queueSizeMax,1775718525035000000,1775718585043000000,57
AWTEventQueue.dispatchTimeAvgNs,1775718525035000000,1775718585043000000,511686.5446045121
FlushQueue.queueSizeAvg,1775718525035000000,1775718585043000000,6.992350841407445
FlushQueue.executionTimeMaxNs,1775718525035000000,1775718585043000000,304087039
AWTEventQueue.dispatchTimeMaxNs,1775718525035000000,1775718585043000000,985661439
FlushQueue.queueSize90P,1775718525035000000,1775718585043000000,27
FlushQueue.waitingTimeAvgNs,1775718525035000000,1775718585043000000,3.476643908618052E7
FlushQueue.executionTime90PNs,1775718525035000000,1775718585043000000,675839
NonBlockingReadAction.finalizedExecutionsCount,1775718525035000000,1775718585043000000,31
FlushQueue.executionTimeAvgNs,1775718525035000000,1775718585043000000,1352831.4380418153
FlushQueue.waitingTime90PNs,1775718525035000000,1775718585043000000,118489087
FlushQueue.waitingTimeMaxNs,1775718525035000000,1775718585043000000,985661439
NonBlockingReadAction.failedExecutionTimeUs,1775718525035000000,1775718585043000000,17120
AWTEventQueue.dispatchTime90PNs,1775718525035000000,1775718585043000000,417791
NonBlockingReadAction.failedExecutionsCount,1775718525035000000,1775718585043000000,2
JVM.GC.collections,1775718525035000000,1775718585043000000,22
JVM.usedNativeBytes,1775718525035000000,1775718585043000000,366872528
JVM.usedHeapBytes,1775718525035000000,1775718585043000000,456944128
OS.loadAverage,1775718525035000000,1775718585043000000,5.3388671875
JVM.maxHeapBytes,1775718525035000000,1775718585043000000,2147483648
JVM.maxNativeBytes,1775718525035000000,1775718585043000000,-1
JVM.totalCpuTimeMs,1775718525035000000,1775718585043000000,43964
JVM.GC.collectionTimesMs,1775718525035000000,1775718585043000000,122
JVM.threadCount,1775718525035000000,1775718585043000000,141
StreamlinedBlobStorage.recordsRelocated,1775718525035000000,1775718585043000000,0
DirectByteBufferAllocator.hits,1775718525035000000,1775718585043000000,3
StreamlinedBlobStorage.recordsDeleted,1775718525035000000,1775718585043000000,23
FilePageCache.pageFastCacheHits,1775718525035000000,1775718585043000000,61016
FilePageCache.totalPageDisposalsUs,1775718525035000000,1775718585043000000,542
FilePageCache.pageHits,1775718525035000000,1775718585043000000,0
FilePageCache.capacityInBytes,1775718525035000000,1775718585043000000,524288000
StorageLockContext.competingThreads.90P,1775718525035000000,1775718585043000000,0
DirectByteBufferAllocator.disposed,1775718525035000000,1775718585043000000,0
FilePageCache.disposedBuffers,1775718525035000000,1775718585043000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775718525035000000,1775718585043000000,0
