# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1775719484237000000,1775719544247000000,581894
NonBlockingReadAction.failedExecutionsCount,1775719484237000000,1775719544247000000,1
FlushQueue.executionTime90PNs,1775719484237000000,1775719544247000000,417791
FlushQueue.waitingTimeMaxNs,1775719484237000000,1775719544247000000,408944639
AWTEventQueue.dispatchTimeMaxNs,1775719484237000000,1775719544247000000,240123903
NonBlockingReadAction.finalizedExecutionsCount,1775719484237000000,1775719544247000000,87
AWTEventQueue.dispatchTime90PNs,1775719484237000000,1775719544247000000,358399
AWTEventQueue.dispatchTimeAvgNs,1775719484237000000,1775719544247000000,743484.1828272935
FlushQueue.waitingTimeAvgNs,1775719484237000000,1775719544247000000,3.04432659337795E7
FlushQueue.queueSizeMax,1775719484237000000,1775719544247000000,84
NonBlockingReadAction.failedExecutionTimeUs,1775719484237000000,1775719544247000000,1255
FlushQueue.queueSizeAvg,1775719484237000000,1775719544247000000,9.359281437125748
FlushQueue.executionTimeMaxNs,1775719484237000000,1775719544247000000,240123903
AWTEventQueue.dispatchTimeTotalNS,1775719484237000000,1775719544247000000,4553569288
FlushQueue.queueSize90P,1775719484237000000,1775719544247000000,37
FlushQueue.executionTimeAvgNs,1775719484237000000,1775719544247000000,770405.5988023952
FlushQueue.waitingTime90PNs,1775719484237000000,1775719544247000000,106430463
FlushQueue.tasksExecuted,1775719484237000000,1775719544247000000,2839
AWTEventQueue.eventsDispatched,1775719484237000000,1775719544247000000,6126
FilePageCache.pageLoads,1775719484237000000,1775719544247000000,311
StreamlinedBlobStorage.recordsAllocated,1775719484237000000,1775719544247000000,18198
FilePageCache.maxRegisteredFiles,1775719484237000000,1775719544247000000,651
StorageLockContext.competingThreads.avg,1775719484237000000,1775719544247000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775719484237000000,1775719544247000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775719484237000000,1775719544247000000,355631
FilePageCache.pageFastCacheHits,1775719484237000000,1775719544247000000,61993
FilePageCache.maxCacheSizeInBytes,1775719484237000000,1775719544247000000,307273728
StreamlinedBlobStorage.recordsDeleted,1775719484237000000,1775719544247000000,23
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775719484237000000,1775719544247000000,1306022
StorageLockContext.competingThreads.90P,1775719484237000000,1775719544247000000,0
StreamlinedBlobStorage.recordsRelocated,1775719484237000000,1775719544247000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775719484237000000,1775719544247000000,307273728
DirectByteBufferAllocator.reclaimed,1775719484237000000,1775719544247000000,22
StorageLockContext.competingThreads.max,1775719484237000000,1775719544247000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775719484237000000,1775719544247000000,0
FilePageCache.totalPageLoadsUs,1775719484237000000,1775719544247000000,111010
DirectByteBufferAllocator.disposed,1775719484237000000,1775719544247000000,0
FilePageCache.capacityInBytes,1775719484237000000,1775719544247000000,524288000
FilePageCache.pageHits,1775719484237000000,1775719544247000000,36
FilePageCache.totalPageDisposalsUs,1775719484237000000,1775719544247000000,319
DirectByteBufferAllocator.hits,1775719484237000000,1775719544247000000,22
DirectByteBufferAllocator.misses,1775719484237000000,1775719544247000000,289
FilePageCache.disposedBuffers,1775719484237000000,1775719544247000000,22
FilePageCache.uncachedFileAccess,1775719484237000000,1775719544247000000,183
workspaceModel.init.bridges.ms,1775719484237000000,1775719544247000000,0
workspaceModel.check.recursive.update.ms,1775719484237000000,1775719544247000000,0
workspaceModel.initializing.ms,1775719484237000000,1775719544247000000,0
workspaceModel.updates.ms,1775719484237000000,1775719544247000000,29
workspaceModel.loading.total.ms,1775719484237000000,1775719544247000000,65
workspaceModel.pre.handlers.ms,1775719484237000000,1775719544247000000,0
workspaceModel.loading.from.cache.ms,1775719484237000000,1775719544247000000,59
workspaceModel.to.snapshot.ms,1775719484237000000,1775719544247000000,1
workspaceModel.update.unloaded.entities.ms,1775719484237000000,1775719544247000000,0
workspaceModel.updates.precise.ms,1775719484237000000,1775719544247000000,10
workspaceModel.replace.project.model.ms,1775719484237000000,1775719544247000000,0
workspaceModel.collect.changes.ms,1775719484237000000,1775719544247000000,0
workspaceModel.updates.count,1775719484237000000,1775719544247000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775719484237000000,1775719544247000000,1
jps.global.initialize.library.bridges.ms,1775719484237000000,1775719544247000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775719484237000000,1775719544247000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775719484237000000,1775719544247000000,24
workspaceModel.delayed.project.synchronizer.sync.ms,1775719484237000000,1775719544247000000,52
workspaceModel.global.updates.ms,1775719484237000000,1775719544247000000,0
jps.app.storage.content.reader.load.component.ms,1775719484237000000,1775719544247000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775719484237000000,1775719544247000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775719484237000000,1775719544247000000,8
workspaceModel.moduleManagerBridge.get.modules.ms,1775719484237000000,1775719544247000000,0
workspaceModel.save.cache.to.file.ms,1775719484237000000,1775719544247000000,37
workspaceModel.mutableEntityStorage.add.diff.ms,1775719484237000000,1775719544247000000,1
workspaceModel.orphan.listener.update.ms,1775719484237000000,1775719544247000000,1
workspaceModel.global.apply.state.to.project.ms,1775719484237000000,1775719544247000000,18
jps.global.initialize.library.bridges.after.loading.ms,1775719484237000000,1775719544247000000,0
jps.apply.loaded.storage.ms,1775719484237000000,1775719544247000000,8
jps.load.project.to.empty.storage.ms,1775719484237000000,1775719544247000000,43
jps.save.changed.project.entities.ms,1775719484237000000,1775719544247000000,1
jps.library.entities.serializer.save.entities.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775719484237000000,1775719544247000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775719484237000000,1775719544247000000,1
jps.facet.change.listener.process.change.events.ms,1775719484237000000,1775719544247000000,1
jps.artifact.entities.serializer.save.entities.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775719484237000000,1775719544247000000,0
jps.reload.project.entities.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775719484237000000,1775719544247000000,0
jps.project.serializers.save.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775719484237000000,1775719544247000000,0
workspaceModel.moduleBridge.before.changed.ms,1775719484237000000,1775719544247000000,0
workspaceModel.load.cache.from.file.ms,1775719484237000000,1775719544247000000,58
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775719484237000000,1775719544247000000,206
jps.project.serializers.load.ms,1775719484237000000,1775719544247000000,12
jps.module.iml.entities.serializer.save.entities.ms,1775719484237000000,1775719544247000000,0
jps.module.iml.entities.serializer.load.entities.ms,1775719484237000000,1775719544247000000,7
workspaceModel.moduleManagerBridge.load.module.ms,1775719484237000000,1775719544247000000,0
jps.library.entities.serializer.load.entities.ms,1775719484237000000,1775719544247000000,0
jps.artifact.entities.serializer.load.entities.ms,1775719484237000000,1775719544247000000,0
jps.save.global.entities.ms,1775719484237000000,1775719544247000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775719484237000000,1775719544247000000,0
jps.global.get.library.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775719484237000000,1775719544247000000,0
jps.global.get.library.by.name.ms,1775719484237000000,1775719544247000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775719484237000000,1775719544247000000,0
workspaceModel.moduleBridge.update.option.ms,1775719484237000000,1775719544247000000,0
jps.facet.change.listener.before.change.events.ms,1775719484237000000,1775719544247000000,0
jps.facet.change.listener.init.bridge.ms,1775719484237000000,1775719544247000000,0
jps.global.handle.changed.events.ms,1775719484237000000,1775719544247000000,0
jps.app.storage.content.writer.save.component.ms,1775719484237000000,1775719544247000000,0
jps.load.initial.state.ms,1775719484237000000,1775719544247000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1775719484237000000,1775719544247000000,3
workspaceModel.sync.entities.ms,1775719484237000000,1775719544247000000,0
jps.global.handle.before.change.events.ms,1775719484237000000,1775719544247000000,0
jps.storage.jps.conf.reader.load.component.ms,1775719484237000000,1775719544247000000,4
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775719484237000000,1775719544247000000,0
workspaceModel.global.updates.count,1775719484237000000,1775719544247000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775719484237000000,1775719544247000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775719484237000000,1775719544247000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775719484237000000,1775719544247000000,5
jps.global.get.libraries.ms,1775719484237000000,1775719544247000000,0
Indexes.entries.lookups,1775719484237000000,1775719544247000000,42.0
IndexesFlusher.totalFlushesRetried,1775719484237000000,1775719544247000000,0
VFSFlusher.totalContentionQuotaSpent,1775719484237000000,1775719544247000000,0
Indexes.allKeys.lookupDuration90PMs,1775719484237000000,1775719544247000000,0.0
VFSFlusher.totalFlushingTimeUs,1775719484237000000,1775719544247000000,13613
Indexes.allKeys.lookups,1775719484237000000,1775719544247000000,0.0
VFSFlusher.totalFlushes,1775719484237000000,1775719544247000000,4
Indexes.stubs.lookupDurationAvgMs,1775719484237000000,1775719544247000000,0.3125
VFSFlusher.totalFlushesRetried,1775719484237000000,1775719544247000000,0
IndexesFlusher.totalFlushingTimeUs,1775719484237000000,1775719544247000000,625620
IndexesFlusher.totalContentionQuotaSpent,1775719484237000000,1775719544247000000,0
Indexes.stubs.lookupDuration90PMs,1775719484237000000,1775719544247000000,1.0
Indexes.entries.lookupDuration90PMs,1775719484237000000,1775719544247000000,2.0
Indexes.entries.lookupDurationAvgMs,1775719484237000000,1775719544247000000,0.5238095238095238
Indexes.stubs.lookupDurationMaxMs,1775719484237000000,1775719544247000000,6.0
Indexes.allKeys.lookupDurationMaxMs,1775719484237000000,1775719544247000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775719484237000000,1775719544247000000,0.0
IndexesFlusher.totalFlushes,1775719484237000000,1775719544247000000,58
Indexes.stubs.lookups,1775719484237000000,1775719544247000000,32.0
Indexes.entries.lookupDurationMaxMs,1775719484237000000,1775719544247000000,7.0
JVM.totalCpuTimeMs,1775719484237000000,1775719544247000000,29985
JVM.usedNativeBytes,1775719484237000000,1775719544247000000,355432968
JVM.usedHeapBytes,1775719484237000000,1775719544247000000,412417792
JVM.maxHeapBytes,1775719484237000000,1775719544247000000,2147483648
JVM.GC.collections,1775719484237000000,1775719544247000000,25
OS.loadAverage,1775719484237000000,1775719544247000000,2.79052734375
JVM.threadCount,1775719484237000000,1775719544247000000,138
JVM.maxNativeBytes,1775719484237000000,1775719544247000000,-1
JVM.GC.collectionTimesMs,1775719484237000000,1775719544247000000,74
FileNameCache.fastMisses,1775719484237000000,1775719544247000000,62323
FileNameCache.queries,1775719484237000000,1775719544247000000,659989
FileNameCache.totalMisses,1775719484237000000,1775719544247000000,11268
NonBlockingReadAction.finalizedExecutionTimeUs,1775719544247000000,1775719604245000000,0
NonBlockingReadAction.failedExecutionsCount,1775719544247000000,1775719604245000000,0
FlushQueue.executionTime90PNs,1775719544247000000,1775719604245000000,62719
FlushQueue.waitingTimeMaxNs,1775719544247000000,1775719604245000000,3817471
AWTEventQueue.dispatchTimeMaxNs,1775719544247000000,1775719604245000000,4292607
NonBlockingReadAction.finalizedExecutionsCount,1775719544247000000,1775719604245000000,0
AWTEventQueue.dispatchTime90PNs,1775719544247000000,1775719604245000000,207871
AWTEventQueue.dispatchTimeAvgNs,1775719544247000000,1775719604245000000,93202.05429864253
FlushQueue.waitingTimeAvgNs,1775719544247000000,1775719604245000000,153027.43801652893
FlushQueue.queueSizeMax,1775719544247000000,1775719604245000000,0
NonBlockingReadAction.failedExecutionTimeUs,1775719544247000000,1775719604245000000,0
FlushQueue.queueSizeAvg,1775719544247000000,1775719604245000000,0.0
FlushQueue.executionTimeMaxNs,1775719544247000000,1775719604245000000,409599
AWTEventQueue.dispatchTimeTotalNS,1775719544247000000,1775719604245000000,329653670
FlushQueue.queueSize90P,1775719544247000000,1775719604245000000,0
FlushQueue.executionTimeAvgNs,1775719544247000000,1775719604245000000,32879.074380165286
FlushQueue.waitingTime90PNs,1775719544247000000,1775719604245000000,244735
FlushQueue.tasksExecuted,1775719544247000000,1775719604245000000,242
AWTEventQueue.eventsDispatched,1775719544247000000,1775719604245000000,3536
FilePageCache.pageLoads,1775719544247000000,1775719604245000000,0
StreamlinedBlobStorage.recordsAllocated,1775719544247000000,1775719604245000000,0
