# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1775719666451000000,1775719726459000000,0.0
Indexes.entries.lookupDurationAvgMs,1775719666451000000,1775719726459000000,0.15384615384615385
Indexes.stubs.lookups,1775719666451000000,1775719726459000000,20.0
Indexes.entries.lookupDurationMaxMs,1775719666451000000,1775719726459000000,3.0
Indexes.stubs.lookupDurationAvgMs,1775719666451000000,1775719726459000000,0.1
Indexes.allKeys.lookupDurationMaxMs,1775719666451000000,1775719726459000000,0.0
VFSFlusher.totalFlushes,1775719666451000000,1775719726459000000,3
IndexesFlusher.totalFlushesRetried,1775719666451000000,1775719726459000000,0
IndexesFlusher.totalContentionQuotaSpent,1775719666451000000,1775719726459000000,0
VFSFlusher.totalContentionQuotaSpent,1775719666451000000,1775719726459000000,0
Indexes.entries.lookups,1775719666451000000,1775719726459000000,39.0
Indexes.allKeys.lookupDuration90PMs,1775719666451000000,1775719726459000000,0.0
VFSFlusher.totalFlushesRetried,1775719666451000000,1775719726459000000,0
Indexes.allKeys.lookupDurationAvgMs,1775719666451000000,1775719726459000000,0.0
VFSFlusher.totalFlushingTimeUs,1775719666451000000,1775719726459000000,10667
Indexes.stubs.lookupDurationMaxMs,1775719666451000000,1775719726459000000,2.0
IndexesFlusher.totalFlushes,1775719666451000000,1775719726459000000,58
Indexes.stubs.lookupDuration90PMs,1775719666451000000,1775719726459000000,0.0
IndexesFlusher.totalFlushingTimeUs,1775719666451000000,1775719726459000000,449822
Indexes.allKeys.lookups,1775719666451000000,1775719726459000000,0.0
workspaceModel.collect.changes.ms,1775719666451000000,1775719726459000000,0
workspaceModel.loading.from.cache.ms,1775719666451000000,1775719726459000000,70
workspaceModel.replace.project.model.ms,1775719666451000000,1775719726459000000,0
workspaceModel.pre.handlers.ms,1775719666451000000,1775719726459000000,1
workspaceModel.updates.precise.ms,1775719666451000000,1775719726459000000,15
workspaceModel.check.recursive.update.ms,1775719666451000000,1775719726459000000,0
workspaceModel.updates.count,1775719666451000000,1775719726459000000,3
workspaceModel.loading.total.ms,1775719666451000000,1775719726459000000,76
workspaceModel.updates.ms,1775719666451000000,1775719726459000000,43
workspaceModel.to.snapshot.ms,1775719666451000000,1775719726459000000,0
workspaceModel.update.unloaded.entities.ms,1775719666451000000,1775719726459000000,0
workspaceModel.initializing.ms,1775719666451000000,1775719726459000000,2
workspaceModel.init.bridges.ms,1775719666451000000,1775719726459000000,2
NonBlockingReadAction.finalizedExecutionsCount,1775719666451000000,1775719726459000000,131
FlushQueue.queueSizeAvg,1775719666451000000,1775719726459000000,10.247191011235955
AWTEventQueue.eventsDispatched,1775719666451000000,1775719726459000000,9265
FlushQueue.queueSize90P,1775719666451000000,1775719726459000000,41
NonBlockingReadAction.failedExecutionsCount,1775719666451000000,1775719726459000000,3
AWTEventQueue.dispatchTimeTotalNS,1775719666451000000,1775719726459000000,4248741596
AWTEventQueue.dispatchTimeMaxNs,1775719666451000000,1775719726459000000,188743679
AWTEventQueue.dispatchTime90PNs,1775719666451000000,1775719726459000000,268287
FlushQueue.waitingTimeMaxNs,1775719666451000000,1775719726459000000,385875967
FlushQueue.executionTimeMaxNs,1775719666451000000,1775719726459000000,184549375
FlushQueue.waitingTimeAvgNs,1775719666451000000,1775719726459000000,3.369721551646648E7
NonBlockingReadAction.failedExecutionTimeUs,1775719666451000000,1775719726459000000,17162
FlushQueue.waitingTime90PNs,1775719666451000000,1775719726459000000,141557759
FlushQueue.tasksExecuted,1775719666451000000,1775719726459000000,2581
FlushQueue.queueSizeMax,1775719666451000000,1775719726459000000,93
