# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775717811444000000,1775717818559000000,52445184
StorageLockContext.competingThreads.90P,1775717811444000000,1775717818559000000,0
FilePageCache.pageLoads,1775717811444000000,1775717818559000000,229
StorageLockContext.competingThreads.max,1775717811444000000,1775717818559000000,0
StorageLockContext.competingThreads.avg,1775717811444000000,1775717818559000000,0.0
FilePageCache.totalPageDisposalsUs,1775717811444000000,1775717818559000000,418
FilePageCache.pageHits,1775717811444000000,1775717818559000000,0
FilePageCache.maxCacheSizeInBytes,1775717811444000000,1775717818559000000,244334592
DirectByteBufferAllocator.disposed,1775717811444000000,1775717818559000000,183
DirectByteBufferAllocator.hits,1775717811444000000,1775717818559000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775717811444000000,1775717818559000000,52445184
FilePageCache.capacityInBytes,1775717811444000000,1775717818559000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1775717811444000000,1775717818559000000,0
FilePageCache.totalPageLoadsUs,1775717811444000000,1775717818559000000,90083
FilePageCache.disposedBuffers,1775717811444000000,1775717818559000000,229
DirectByteBufferAllocator.misses,1775717811444000000,1775717818559000000,226
DirectByteBufferAllocator.reclaimed,1775717811444000000,1775717818559000000,46
FilePageCache.pageFastCacheHits,1775717811444000000,1775717818559000000,15660
FilePageCache.uncachedFileAccess,1775717811444000000,1775717818559000000,361
FilePageCache.maxRegisteredFiles,1775717811444000000,1775717818559000000,834
NonBlockingReadAction.failedExecutionTimeUs,1775717811444000000,1775717818559000000,0
AWTEventQueue.dispatchTimeTotalNS,1775717811444000000,1775717818559000000,5782178813
NonBlockingReadAction.failedExecutionsCount,1775717811444000000,1775717818559000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775717811444000000,1775717818559000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1775717811444000000,1775717818559000000,179891
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775717811444000000,1775717818559000000,0
workspaceModel.load.cache.from.file.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775717811444000000,1775717818559000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775717811444000000,1775717818559000000,0
workspaceModel.save.cache.to.file.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1775717811444000000,1775717818559000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775717811444000000,1775717818559000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775717811444000000,1775717818559000000,0
workspaceModel.pre.handlers.ms,1775717811444000000,1775717818559000000,0
workspaceModel.check.recursive.update.ms,1775717811444000000,1775717818559000000,0
workspaceModel.collect.changes.ms,1775717811444000000,1775717818559000000,0
workspaceModel.replace.project.model.ms,1775717811444000000,1775717818559000000,0
workspaceModel.loading.total.ms,1775717811444000000,1775717818559000000,12
workspaceModel.initializing.ms,1775717811444000000,1775717818559000000,0
workspaceModel.updates.precise.ms,1775717811444000000,1775717818559000000,0
workspaceModel.update.unloaded.entities.ms,1775717811444000000,1775717818559000000,0
workspaceModel.to.snapshot.ms,1775717811444000000,1775717818559000000,0
workspaceModel.updates.count,1775717811444000000,1775717818559000000,0
workspaceModel.init.bridges.ms,1775717811444000000,1775717818559000000,0
workspaceModel.updates.ms,1775717811444000000,1775717818559000000,0
workspaceModel.loading.from.cache.ms,1775717811444000000,1775717818559000000,8
FileNameCache.totalMisses,1775717811444000000,1775717818559000000,12
FileNameCache.fastMisses,1775717811444000000,1775717818559000000,12
FileNameCache.queries,1775717811444000000,1775717818559000000,246
