# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedHeapBytes,1775718244142000000,1775718304152000000,466315952
OS.loadAverage,1775718244142000000,1775718304152000000,4.966796875
JVM.maxNativeBytes,1775718244142000000,1775718304152000000,-1
JVM.GC.collections,1775718244142000000,1775718304152000000,24
JVM.maxHeapBytes,1775718244142000000,1775718304152000000,2147483648
JVM.GC.collectionTimesMs,1775718244142000000,1775718304152000000,134
JVM.totalCpuTimeMs,1775718244142000000,1775718304152000000,53935
JVM.threadCount,1775718244142000000,1775718304152000000,143
JVM.usedNativeBytes,1775718244142000000,1775718304152000000,401195936
AWTEventQueue.dispatchTimeMaxNs,1775718244142000000,1775718304152000000,333447167
FlushQueue.waitingTimeAvgNs,1775718244142000000,1775718304152000000,2.3495821730508078E7
AWTEventQueue.dispatchTime90PNs,1775718244142000000,1775718304152000000,395263
FlushQueue.executionTimeAvgNs,1775718244142000000,1775718304152000000,718107.8876141419
AWTEventQueue.dispatchTimeTotalNS,1775718244142000000,1775718304152000000,8844645032
FlushQueue.executionTimeMaxNs,1775718244142000000,1775718304152000000,333447167
FlushQueue.waitingTime90PNs,1775718244142000000,1775718304152000000,36175871
NonBlockingReadAction.failedExecutionsCount,1775718244142000000,1775718304152000000,8
AWTEventQueue.dispatchTimeAvgNs,1775718244142000000,1775718304152000000,432095.16783114284
FlushQueue.queueSizeMax,1775718244142000000,1775718304152000000,93
NonBlockingReadAction.finalizedExecutionTimeUs,1775718244142000000,1775718304152000000,1364237
NonBlockingReadAction.failedExecutionTimeUs,1775718244142000000,1775718304152000000,1267
FlushQueue.executionTime90PNs,1775718244142000000,1775718304152000000,325631
FlushQueue.tasksExecuted,1775718244142000000,1775718304152000000,4271
AWTEventQueue.eventsDispatched,1775718244142000000,1775718304152000000,20467
FlushQueue.queueSize90P,1775718244142000000,1775718304152000000,22
NonBlockingReadAction.finalizedExecutionsCount,1775718244142000000,1775718304152000000,735
FlushQueue.waitingTimeMaxNs,1775718244142000000,1775718304152000000,549453823
FlushQueue.queueSizeAvg,1775718244142000000,1775718304152000000,6.20393350503395
workspaceModel.moduleManagerBridge.get.modules.ms,1775718244142000000,1775718304152000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775718244142000000,1775718304152000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775718244142000000,1775718304152000000,184
workspaceModel.global.updates.ms,1775718244142000000,1775718304152000000,0
jps.load.initial.state.ms,1775718244142000000,1775718304152000000,3
jps.app.storage.content.reader.load.component.ms,1775718244142000000,1775718304152000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775718244142000000,1775718304152000000,0
workspaceModel.load.cache.from.file.ms,1775718244142000000,1775718304152000000,108
jps.storage.jps.conf.reader.load.component.ms,1775718244142000000,1775718304152000000,8
jps.module.iml.entities.serializer.save.entities.ms,1775718244142000000,1775718304152000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775718244142000000,1775718304152000000,0
jps.apply.loaded.storage.ms,1775718244142000000,1775718304152000000,38
jps.facet.change.listener.init.bridge.ms,1775718244142000000,1775718304152000000,1
jps.load.project.to.empty.storage.ms,1775718244142000000,1775718304152000000,67
jps.library.entities.serializer.load.entities.ms,1775718244142000000,1775718304152000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775718244142000000,1775718304152000000,0
workspaceModel.orphan.listener.update.ms,1775718244142000000,1775718304152000000,4
jps.global.get.libraries.ms,1775718244142000000,1775718304152000000,0
jps.artifact.entities.serializer.save.entities.ms,1775718244142000000,1775718304152000000,0
workspaceModel.save.cache.to.file.ms,1775718244142000000,1775718304152000000,25
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775718244142000000,1775718304152000000,16
workspaceModel.global.apply.state.to.project.ms,1775718244142000000,1775718304152000000,28
workspaceModel.mutableEntityStorage.entities.ms,1775718244142000000,1775718304152000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775718244142000000,1775718304152000000,9
workspaceModel.mutableEntityStorage.put.entity.ms,1775718244142000000,1775718304152000000,3
jps.module.iml.entities.serializer.load.entities.ms,1775718244142000000,1775718304152000000,15
workspaceModel.moduleBridge.facet.initialization.ms,1775718244142000000,1775718304152000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775718244142000000,1775718304152000000,0
