# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.facet.change.listener.init.bridge.ms,1775718010793000000,1775718070813000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775718010793000000,1775718070813000000,2
jps.project.serializers.save.ms,1775718010793000000,1775718070813000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775718010793000000,1775718070813000000,0
jps.save.changed.project.entities.ms,1775718010793000000,1775718070813000000,0
jps.facet.change.listener.process.change.events.ms,1775718010793000000,1775718070813000000,1
Indexes.stubs.lookupDurationAvgMs,1775718010793000000,1775718070813000000,0.2
Indexes.entries.lookupDuration90PMs,1775718010793000000,1775718070813000000,5.0
Indexes.entries.lookups,1775718010793000000,1775718070813000000,6.0
VFSFlusher.totalFlushes,1775718010793000000,1775718070813000000,6
IndexesFlusher.totalContentionQuotaSpent,1775718010793000000,1775718070813000000,11
VFSFlusher.totalFlushesRetried,1775718010793000000,1775718070813000000,0
Indexes.allKeys.lookupDurationMaxMs,1775718010793000000,1775718070813000000,0.0
Indexes.stubs.lookups,1775718010793000000,1775718070813000000,20.0
Indexes.stubs.lookupDurationMaxMs,1775718010793000000,1775718070813000000,3.0
Indexes.stubs.lookupDuration90PMs,1775718010793000000,1775718070813000000,0.0
VFSFlusher.totalFlushingTimeUs,1775718010793000000,1775718070813000000,33804
VFSFlusher.totalContentionQuotaSpent,1775718010793000000,1775718070813000000,0
Indexes.allKeys.lookups,1775718010793000000,1775718070813000000,0.0
IndexesFlusher.totalFlushingTimeUs,1775718010793000000,1775718070813000000,581087
Indexes.allKeys.lookupDuration90PMs,1775718010793000000,1775718070813000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775718010793000000,1775718070813000000,0.0
IndexesFlusher.totalFlushesRetried,1775718010793000000,1775718070813000000,0
IndexesFlusher.totalFlushes,1775718010793000000,1775718070813000000,54
Indexes.entries.lookupDurationMaxMs,1775718010793000000,1775718070813000000,5.0
Indexes.entries.lookupDurationAvgMs,1775718010793000000,1775718070813000000,0.8333333333333334
FileNameCache.totalMisses,1775718010793000000,1775718070813000000,39336
FileNameCache.fastMisses,1775718010793000000,1775718070813000000,66994
FileNameCache.queries,1775718010793000000,1775718070813000000,922793
OS.loadAverage,1775718010793000000,1775718070813000000,3.8095703125
JVM.threadCount,1775718010793000000,1775718070813000000,147
JVM.maxNativeBytes,1775718010793000000,1775718070813000000,-1
JVM.totalCpuTimeMs,1775718010793000000,1775718070813000000,35236
JVM.GC.collectionTimesMs,1775718010793000000,1775718070813000000,112
JVM.maxHeapBytes,1775718010793000000,1775718070813000000,2147483648
JVM.usedHeapBytes,1775718010793000000,1775718070813000000,283315056
JVM.GC.collections,1775718010793000000,1775718070813000000,38
JVM.usedNativeBytes,1775718010793000000,1775718070813000000,341337736
workspaceModel.updates.ms,1775718010793000000,1775718070813000000,85
workspaceModel.collect.changes.ms,1775718010793000000,1775718070813000000,0
workspaceModel.pre.handlers.ms,1775718010793000000,1775718070813000000,1
workspaceModel.updates.count,1775718010793000000,1775718070813000000,5
workspaceModel.replace.project.model.ms,1775718010793000000,1775718070813000000,0
workspaceModel.to.snapshot.ms,1775718010793000000,1775718070813000000,1
workspaceModel.initializing.ms,1775718010793000000,1775718070813000000,2
workspaceModel.loading.from.cache.ms,1775718010793000000,1775718070813000000,10
workspaceModel.init.bridges.ms,1775718010793000000,1775718070813000000,2
workspaceModel.check.recursive.update.ms,1775718010793000000,1775718070813000000,1
workspaceModel.update.unloaded.entities.ms,1775718010793000000,1775718070813000000,0
workspaceModel.updates.precise.ms,1775718010793000000,1775718070813000000,2
workspaceModel.loading.total.ms,1775718010793000000,1775718070813000000,17
FilePageCache.capacityInBytes,1775718010793000000,1775718070813000000,524288000
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775718010793000000,1775718070813000000,69242
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775718010793000000,1775718070813000000,217428
FilePageCache.disposedBuffers,1775718010793000000,1775718070813000000,5
DirectByteBufferAllocator.disposed,1775718010793000000,1775718070813000000,0
StreamlinedBlobStorage.recordsDeleted,1775718010793000000,1775718070813000000,16
DirectByteBufferAllocator.reclaimed,1775718010793000000,1775718070813000000,5
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775718010793000000,1775718070813000000,320897024
FilePageCache.maxCacheSizeInBytes,1775718010793000000,1775718070813000000,320897024
StreamlinedBlobStorage.recordsRelocated,1775718010793000000,1775718070813000000,0
FilePageCache.pageFastCacheHits,1775718010793000000,1775718070813000000,190493
FilePageCache.pageLoadsAboveSizeThreshold,1775718010793000000,1775718070813000000,0
FilePageCache.pageHits,1775718010793000000,1775718070813000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775718010793000000,1775718070813000000,0
FilePageCache.totalPageDisposalsUs,1775718010793000000,1775718070813000000,366
DirectByteBufferAllocator.misses,1775718010793000000,1775718070813000000,301
FilePageCache.uncachedFileAccess,1775718010793000000,1775718070813000000,288
FilePageCache.pageLoads,1775718010793000000,1775718070813000000,306
StorageLockContext.competingThreads.90P,1775718010793000000,1775718070813000000,0
StreamlinedBlobStorage.recordsAllocated,1775718010793000000,1775718070813000000,2772
FilePageCache.totalPageLoadsUs,1775718010793000000,1775718070813000000,98878
DirectByteBufferAllocator.hits,1775718010793000000,1775718070813000000,5
StorageLockContext.competingThreads.avg,1775718010793000000,1775718070813000000,0.0
FilePageCache.maxRegisteredFiles,1775718010793000000,1775718070813000000,666
StorageLockContext.competingThreads.max,1775718010793000000,1775718070813000000,0
AWTEventQueue.dispatchTimeTotalNS,1775718070813000000,1775718130816000000,1202133885
FlushQueue.queueSize90P,1775718070813000000,1775718130816000000,3
FlushQueue.waitingTime90PNs,1775718070813000000,1775718130816000000,532479
AWTEventQueue.dispatchTime90PNs,1775718070813000000,1775718130816000000,337919
AWTEventQueue.dispatchTimeAvgNs,1775718070813000000,1775718130816000000,268291.2162463736
AWTEventQueue.eventsDispatched,1775718070813000000,1775718130816000000,4481
NonBlockingReadAction.failedExecutionTimeUs,1775718070813000000,1775718130816000000,2231
NonBlockingReadAction.finalizedExecutionTimeUs,1775718070813000000,1775718130816000000,27003
AWTEventQueue.dispatchTimeMaxNs,1775718070813000000,1775718130816000000,59506687
FlushQueue.executionTimeMaxNs,1775718070813000000,1775718130816000000,59506687
FlushQueue.waitingTimeMaxNs,1775718070813000000,1775718130816000000,64225279
FlushQueue.executionTime90PNs,1775718070813000000,1775718130816000000,145407
NonBlockingReadAction.failedExecutionsCount,1775718070813000000,1775718130816000000,6
FlushQueue.executionTimeAvgNs,1775718070813000000,1775718130816000000,165752.2818696884
NonBlockingReadAction.finalizedExecutionsCount,1775718070813000000,1775718130816000000,134
FlushQueue.queueSizeMax,1775718070813000000,1775718130816000000,12
FlushQueue.queueSizeAvg,1775718070813000000,1775718130816000000,0.9291784702549575
FlushQueue.tasksExecuted,1775718070813000000,1775718130816000000,1412
FlushQueue.waitingTimeAvgNs,1775718070813000000,1775718130816000000,560749.0424929179
jps.load.project.to.empty.storage.ms,1775718070813000000,1775718130816000000,23
jps.modifiable.module.model.bridge.disposing.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775718070813000000,1775718130816000000,0
jps.global.initialize.library.bridges.ms,1775718070813000000,1775718130816000000,0
jps.artifact.entities.serializer.save.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775718070813000000,1775718130816000000,11
workspaceModel.global.updates.count,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775718070813000000,1775718130816000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1775718070813000000,1775718130816000000,0
workspaceModel.sync.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleBridge.update.option.ms,1775718070813000000,1775718130816000000,0
jps.global.handle.before.change.events.ms,1775718070813000000,1775718130816000000,0
jps.library.entities.serializer.load.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775718070813000000,1775718130816000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1775718070813000000,1775718130816000000,5
jps.app.storage.content.writer.save.component.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775718070813000000,1775718130816000000,0
jps.storage.jps.conf.reader.load.component.ms,1775718070813000000,1775718130816000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleBridge.before.changed.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775718070813000000,1775718130816000000,2
jps.global.get.library.by.name.ms,1775718070813000000,1775718130816000000,0
jps.artifact.entities.serializer.load.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775718070813000000,1775718130816000000,0
workspaceModel.save.cache.to.file.ms,1775718070813000000,1775718130816000000,128
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775718070813000000,1775718130816000000,1043
workspaceModel.mutableEntityStorage.remove.entity.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775718070813000000,1775718130816000000,3
jps.module.iml.entities.serializer.load.entities.ms,1775718070813000000,1775718130816000000,0
jps.save.global.entities.ms,1775718070813000000,1775718130816000000,2
